site_id,locality,postalCode,state,operatorId,operatorName,lon,lat,total_num_pois,num_fast_food,num_fuel_stations,num_supermarkets,closest_category,has_toilet,has_wifi,has_seating,open_24hr,tags.brand
_SxIYTgUuPm7CjSo3yXwePBnXYwHgP3H9ap5-l3vM8w,Hamburg,22303,Hamburg,DEHHM,Hamburger Energiewerke,10.016495,53.586194,0,0.0,0.0,0.0,,,,,,
_ZHwHSW7rGV-Sd_dPWjvnpPvmPoWTSxaPg32vsYAeGk,Hamburg,22299,Hamburg,DEWLN,Wirelane,10.003444,53.5925,0,0.0,0.0,0.0,,,,,,
_ZTR6nvKxHK1RGj4dgY1fNKxOTjP2CW1Rb-7TkggPyc,Hamburg,22761,Hamburg,DEEZE,eze.network GmbH,9.91234,53.56114,0,0.0,0.0,0.0,,,,,,
__1ZbCe7lJHmc6owPsJzqHrxlqABSVOMB_cD-AMYBRI,Hamburg,22335,Hamburg,DEVAT,Vattenfall,9.98948,53.62168,0,0.0,0.0,0.0,,,,,,
_cEgTZG-2lLN2urq7PRA0QwSRy3Xf-X-JjDRaajnkgk,Hamburg,22607,Hamburg,DENMS,SWN Stadtwerke Neumünster GmbH,9.875113,53.565389,0,0.0,0.0,0.0,,,,,,
_iuzlJA6a9AC12JXE_-TJNGEgemuHVlCBQe4rWaSHEw,Hamburg,21029,Hamburg,DEHHM,Hamburger Energiewerke,10.226995,53.484565,1,0.0,0.0,1.0,supermarket,False,False,False,False,Nah & Frisch
_jUOV-p8ZVDrFe7PkXA7VqBSDDPo7bskZ5IMSQolOo4,Hamburg,22297,Hamburg,DEQRM,Qwello,10.0263,53.60171,0,0.0,0.0,0.0,,,,,,
_l-UnuQJT18U9yUMR4KG4OG9O3XTLv3e9-8lfANrXr0,Hamburg,22767,Hamburg,DEHHM,Hamburger Energiewerke,9.95406,53.55989,0,0.0,0.0,0.0,,,,,,
_lPJLy1iDYWpPCaMWgE_PzIzvFDHZM2WKdx4Stlh58A,Hamburg,22559,Hamburg,DEEZE,eze.network GmbH,9.76093,53.58545,0,0.0,0.0,0.0,,,,,,
_wNYojrjLjAeFGFt9QeDGDsC1h6aMoswTAa3Qi93P4k,Hamburg,22335,Hamburg,DEWLN,Wirelane,10.000562,53.614498,0,0.0,0.0,0.0,,,,,,
_yzzO0-Gpx1iGku75N1jAzznQanBZdRn-xHkyDP9A6k,Hamburg,22559,Hamburg,DEHHM,Hamburger Energiewerke,9.75966,53.581532,1,0.0,0.0,1.0,supermarket,False,False,False,False,REWE
_zFFmBzXuKoP2ynuhCW0cUa9DmYIG03TByRbro9mv4s,Hamburg,21073,Hamburg,DEHHM,Hamburger Energiewerke,9.982093,53.452835,0,0.0,0.0,0.0,,,,,,
